2023-03-10 10:08:21,428 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:09:54,244 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:10:17,209 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:10:27,209 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:41:54,951 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:42:28,092 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:42:43,173 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 10:43:11,074 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 11:15:32,761 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 11:16:34,280 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 11:24:07,665 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 14:31:58,201 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 14:42:02,951 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 14:45:04,529 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 14:45:59,637 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 14:46:45,095 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
2023-03-10 14:47:17,554 - INFO - routes.py - load - 17 - 路由: [('/register/?', <class 'zcr.controllers.account.RegisterHandler'>), ('/login/?', <class 'zcr.controllers.account.LoginHandler'>), ('/conference/reserve/?', <class 'zcr.controllers.conference.ReserveHandler'>)]
